Logger:         	MadelineProto 8.3.5
SessionPaths:   	Got exclusive lock of /Users/javohir/WEB/laravel/inspire/bot.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
LoggerLoop:     	Pausing serialize for 30...
LoggerLoop:     	Pausing phone config for 3600...
LoggerLoop:     	Pausing config for 3600...
LoggerLoop:     	Pausing update feed loop generic until resume...
LoggerLoop:     	Pausing getUpdate loop generic until resume...
LoggerLoop:     	Pausing update seq loop until resume...
AbstractServer: 	Accepted IPC client connection!
WriteLoop:      	Sending auth.exportLoginToken pending as encrypted message to DC 2.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 84) as encrypted message for DC 2.0
WriteLoop:      	Sent encrypted payload to DC 2.0
WriteLoop:      	No messages, pausing in write loop in DC 2.0...
LoggerLoop:     	Pausing write loop in DC 2.0 until resume...
LoggerLoop:     	Pausing check loop in DC 2.0 for 5...
ReadLoop:       	Received payload from DC 2.0
ReadLoop:       	Finished reading in read loop in DC 2.0!
ResponseHandler: 	Received rpc_result from DC 2
ReadLoop:       	Reading in read loop in DC 2.0...
LoggerLoop:     	Pausing Ping loop in DC 2.0 for 5...
PingLoop:       	Ping DC 2.0
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 2.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 48) as encrypted message for DC 2.0
WriteLoop:      	Sent encrypted payload to DC 2.0
WriteLoop:      	No messages, pausing in write loop in DC 2.0...
LoggerLoop:     	Pausing write loop in DC 2.0 until resume...
LoggerLoop:     	Pausing check loop in DC 2.0 for 5...
ReadLoop:       	Received payload from DC 2.0
ReadLoop:       	Finished reading in read loop in DC 2.0!
ResponseHandler: 	Received pong from DC 2
ReadLoop:       	Reading in read loop in DC 2.0...
Login:          	Sending code...
WriteLoop:      	Sending auth.sendCode pending as encrypted message to DC 2.0
WriteLoop:      	Sent encrypted payload to DC 2.0
WriteLoop:      	No messages, pausing in write loop in DC 2.0...
LoggerLoop:     	Pausing write loop in DC 2.0 until resume...
LoggerLoop:     	Pausing check loop in DC 2.0 for 5...
ReadLoop:       	Received payload from DC 2.0
ReadLoop:       	Finished reading in read loop in DC 2.0!
ResponseHandler: 	Received rpc_result from DC 2
ResponseHandler: 	Resending auth.sendCode with message ID 7429464635126509772 sent 0.271937083 seconds ago to new DC 1...
DataCenter:     	Acquiring connect lock for 1!
DataCenter:     	Connecting to DC 1
DataCenterConnection: 	Restoring 0 messages to DC 1
Session:        	Resetting session in DC 1.0 due to creating initial session...
Connection:     	Connecting to DC 1.0 via tcp://149.154.175.58:443 main DC 1, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream 
ReadLoop:       	Reading in read loop in DC 2.0...
Session:        	Garbage collected 8 incoming messages in DC 2, 0 left
Session:        	Garbage collected 6 outgoing messages in DC 2, 1 left
LoggerLoop:     	Pausing cleanup loop in DC 2.0 for 10...
LoggerLoop:     	Pausing Ping loop in DC 2.0 for 5...
PingLoop:       	Ping DC 2.0
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 2.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 48) as encrypted message for DC 2.0
WriteLoop:      	Sent encrypted payload to DC 2.0
WriteLoop:      	No messages, pausing in write loop in DC 2.0...
LoggerLoop:     	Pausing write loop in DC 2.0 until resume...
LoggerLoop:     	Pausing check loop in DC 2.0 for 5...
Connection:     	Connected to DC 1.0 via tcp://149.154.175.58:443 main DC 1, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream!
LoggerLoop:     	Started write loop in DC 1.0!
LoggerLoop:     	Started read loop in DC 1.0!
LoggerLoop:     	Started check loop in DC 1.0!
LoggerLoop:     	Started cleanup loop in DC 1.0!
LoggerLoop:     	Started HTTP wait loop in DC 1.0!
LoggerLoop:     	Started Ping loop in DC 1.0!
DataCenterConnection: 	Acquiring lock in order to init auth for DC 1
DataCenterConnection: 	Initing auth for DC 1
DataCenterConnection: 	Generating permanent authorization key for DC 1...
AuthKeyHandler: 	Requesting pq...
WriteLoop:      	Sending req_pq_multi pending as unencrypted message to DC 1.0
WriteLoop:      	Sent req_pq_multi pending as unencrypted message to DC 1.0!
WriteLoop:      	Have to wait for handshake, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 for 1...
ReadLoop:       	Reading in read loop in DC 1.0...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
Session:        	Garbage collected 0 outgoing messages in DC 1, 1 left
LoggerLoop:     	Pausing cleanup loop in DC 1.0 for 10...
LoggerLoop:     	Exited HTTP wait loop in DC 1.0!
PingLoop:       	Waiting for temp key in Ping loop in DC 1.0
LoggerLoop:     	Pausing Ping loop in DC 1.0 until resume...
ReadLoop:       	Received payload from DC 2.0
ReadLoop:       	Finished reading in read loop in DC 2.0!
ResponseHandler: 	Received pong from DC 2
ReadLoop:       	Reading in read loop in DC 2.0...
ReadLoop:       	Padded unencrypted message
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received resPQ from DC 1
ResponseHandler: 	Trying to assign a response of type ResPQ to its request...
ResponseHandler: 	Does the request of return type ResPQ match?
ResponseHandler: 	Yes
AuthKeyHandler: 	Factorizing with native_single_cpp (please wait, might take a while)
AuthKeyHandler: 	Factorizing with python_single_alt (please wait, might take a while)
AuthKeyHandler: 	Install https://prime.madelineproto.xyz and the FFI extension to speed this up!
AuthKeyHandler: 	Factorizing with python_single (please wait, might take a while)
AuthKeyHandler: 	Install https://prime.madelineproto.xyz and the FFI extension to speed this up!
AuthKeyHandler: 	Factorizing with native_single (please wait, might take a while)
AuthKeyHandler: 	Install https://prime.madelineproto.xyz and the FFI extension to speed this up!
AuthKeyHandler: 	Factorization 2857841742867220259 = 1456421753 * 1962235003
AuthKeyHandler: 	Starting Diffie Hellman key exchange
ReadLoop:       	Reading in read loop in DC 1.0...
WriteLoop:      	Sending req_DH_params pending as unencrypted message to DC 1.0
WriteLoop:      	Sent req_DH_params pending as unencrypted message to DC 1.0!
WriteLoop:      	Have to wait for handshake, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 for 1...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Padded unencrypted message
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received server_DH_params_ok from DC 1
ResponseHandler: 	Trying to assign a response of type Server_DH_Params to its request...
ResponseHandler: 	Does the request of return type Server_DH_Params match?
ResponseHandler: 	Yes
AuthKeyHandler: 	Server-client time delta = 0.0 s
Crypt:          	Executing p/g checks (1/2)...
Crypt:          	Executing p/g checks (2/2)...
Crypt:          	Executing g check...
Crypt:          	Executing g_a check (1/2)...
Crypt:          	Executing g_a check (2/2)...
AuthKeyHandler: 	Generating b...
AuthKeyHandler: 	Generating g_b...
Crypt:          	Executing g_a check (1/2)...
Crypt:          	Executing g_a check (2/2)...
AuthKeyHandler: 	Executing g_b check...
AuthKeyHandler: 	Preparing client_DH_inner_data...
AuthKeyHandler: 	Executing set_client_DH_params...
ReadLoop:       	Reading in read loop in DC 1.0...
WriteLoop:      	Sending set_client_DH_params pending as unencrypted message to DC 1.0
WriteLoop:      	Sent set_client_DH_params pending as unencrypted message to DC 1.0!
WriteLoop:      	Have to wait for handshake, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 for 1...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
WriteLoop:      	Have to wait for handshake, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 for 1...
ReadLoop:       	Padded unencrypted message
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received dh_gen_ok from DC 1
ResponseHandler: 	Trying to assign a response of type Set_client_DH_params_answer to its request...
ResponseHandler: 	Does the request of return type Set_client_DH_params_answer match?
ResponseHandler: 	Yes
AuthKeyHandler: 	Generating authorization key...
AuthKeyHandler: 	Diffie Hellman key exchange processed successfully!
AuthKeyHandler: 	Auth key generated
DataCenterConnection: 	Generating temporary authorization key for DC 1...
AuthKeyHandler: 	Requesting pq...
ReadLoop:       	Reading in read loop in DC 1.0...
WriteLoop:      	Sending req_pq_multi pending as unencrypted message to DC 1.0
WriteLoop:      	Sent req_pq_multi pending as unencrypted message to DC 1.0!
WriteLoop:      	Have to wait for handshake, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 for 1...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Padded unencrypted message
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received resPQ from DC 1
ResponseHandler: 	Trying to assign a response of type ResPQ to its request...
ResponseHandler: 	Does the request of return type ResPQ match?
ResponseHandler: 	Yes
AuthKeyHandler: 	Factorizing with native_single_cpp (please wait, might take a while)
AuthKeyHandler: 	Factorizing with python_single_alt (please wait, might take a while)
AuthKeyHandler: 	Install https://prime.madelineproto.xyz and the FFI extension to speed this up!
AuthKeyHandler: 	Factorizing with python_single (please wait, might take a while)
AuthKeyHandler: 	Install https://prime.madelineproto.xyz and the FFI extension to speed this up!
AuthKeyHandler: 	Factorizing with native_single (please wait, might take a while)
AuthKeyHandler: 	Install https://prime.madelineproto.xyz and the FFI extension to speed this up!
AuthKeyHandler: 	Factorization 3459439392932451017 = 1842128173 * 1877958029
AuthKeyHandler: 	Starting Diffie Hellman key exchange
ReadLoop:       	Reading in read loop in DC 1.0...
WriteLoop:      	Sending req_DH_params pending as unencrypted message to DC 1.0
WriteLoop:      	Sent req_DH_params pending as unencrypted message to DC 1.0!
WriteLoop:      	Have to wait for handshake, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 for 1...
LoggerLoop:     	Pausing Ping loop in DC 2.0 for 5...
PingLoop:       	Ping DC 2.0
LoggerLoop:     	Pausing check loop in DC 2.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 2.0
WriteLoop:      	Sent encrypted payload to DC 2.0
WriteLoop:      	No messages, pausing in write loop in DC 2.0...
LoggerLoop:     	Pausing write loop in DC 2.0 until resume...
LoggerLoop:     	Pausing check loop in DC 2.0 for 5...
ReadLoop:       	Received payload from DC 2.0
ReadLoop:       	Finished reading in read loop in DC 2.0!
ResponseHandler: 	Received pong from DC 2
ReadLoop:       	Reading in read loop in DC 2.0...
WriteLoop:      	Have to wait for handshake, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 for 1...
ReadLoop:       	Padded unencrypted message
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received server_DH_params_ok from DC 1
ResponseHandler: 	Trying to assign a response of type Server_DH_Params to its request...
ResponseHandler: 	Does the request of return type Server_DH_Params match?
ResponseHandler: 	Yes
AuthKeyHandler: 	Server-client time delta = -1.0 s
Crypt:          	Executing p/g checks (1/2)...
Crypt:          	Executing p/g checks (2/2)...
Crypt:          	Executing g check...
Crypt:          	Executing g_a check (1/2)...
Crypt:          	Executing g_a check (2/2)...
AuthKeyHandler: 	Generating b...
AuthKeyHandler: 	Generating g_b...
Crypt:          	Executing g_a check (1/2)...
Crypt:          	Executing g_a check (2/2)...
AuthKeyHandler: 	Executing g_b check...
AuthKeyHandler: 	Preparing client_DH_inner_data...
AuthKeyHandler: 	Executing set_client_DH_params...
ReadLoop:       	Reading in read loop in DC 1.0...
WriteLoop:      	Sending set_client_DH_params pending as unencrypted message to DC 1.0
WriteLoop:      	Sent set_client_DH_params pending as unencrypted message to DC 1.0!
WriteLoop:      	Have to wait for handshake, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 for 1...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Padded unencrypted message
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received dh_gen_ok from DC 1
ResponseHandler: 	Trying to assign a response of type Set_client_DH_params_answer to its request...
ResponseHandler: 	Does the request of return type Set_client_DH_params_answer match?
ResponseHandler: 	Yes
AuthKeyHandler: 	Generating authorization key...
AuthKeyHandler: 	Diffie Hellman key exchange processed successfully!
AuthKeyHandler: 	Auth key generated
DataCenterConnection: 	Binding authorization keys...
ReadLoop:       	Reading in read loop in DC 1.0...
WriteLoop:      	Skipping auth.sendCode sent 9.795767333 seconds ago due to unbound keys in DC 1.0
WriteLoop:      	Sending auth.bindTempAuthKey with message ID 7429464673781229648 pending as encrypted message to DC 1.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 164) as encrypted message for DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	Have to wait for handshake, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 for 1...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received msg_container from DC 1
MsgIdHandler:   	Given message id (7429464682192347137) is bigger than or equal to the current limit (7429464682192325633). Please sync your date using NTP.
ResponseHandler: 	Inside of container, received new_session_created from DC 1
ResponseHandler: 	Inside of container, received msgs_ack from DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received rpc_result from DC 1
DataCenterConnection: 	Bound temporary and permanent authorization keys, DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
WriteLoop:      	Sending auth.sendCode sent 10.279697583 seconds ago as encrypted message to DC 1.0
WriteLoop:      	Skipping auth.sendCode sent 10.279746375 seconds ago due to uninited connection in DC 1.0
WriteLoop:      	Sending help.getConfig pending as encrypted message to DC 1.0
WriteLoop:      	Writing client info (also executing help.getConfig)...
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 92) as encrypted message for DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	Have to wait for handshake, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 for 1...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Can't garbage collect auth.sendCode sent 10.4038545 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session:        	Garbage collected 3 outgoing messages in DC 2, 1 left
LoggerLoop:     	Pausing cleanup loop in DC 2.0 for 10...
Session:        	Garbage collected 10 incoming messages in DC 1, 0 left
Session:        	Garbage collected 9 outgoing messages in DC 1, 1 left
LoggerLoop:     	Pausing cleanup loop in DC 1.0 for 10...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received rpc_result from DC 1
DataCenterConnection: 	Done initing auth for DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
WriteLoop:      	Sending auth.sendCode sent 10.722862042 seconds ago as encrypted message to DC 1.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 100) as encrypted message for DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing Ping loop in DC 1.0 for 5...
PingLoop:       	Ping DC 1.0
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received msg_container from DC 1
MsgIdHandler:   	Given message id (7429464685982683141) is bigger than or equal to the current limit (7429464685982683137). Please sync your date using NTP.
ResponseHandler: 	Inside of container, received pong from DC 1
ResponseHandler: 	Inside of container, received msgs_ack from DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received rpc_result from DC 1
Login:          	Code sent successfully! Once you receive the code you should use the completePhoneLogin function.
ReadLoop:       	Reading in read loop in DC 1.0...
LoggerLoop:     	Pausing Ping loop in DC 2.0 for 5...
PingLoop:       	Ping DC 2.0
LoggerLoop:     	Pausing check loop in DC 2.0 until resume...
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 2.0
WriteLoop:      	Sent encrypted payload to DC 2.0
WriteLoop:      	No messages, pausing in write loop in DC 2.0...
LoggerLoop:     	Pausing write loop in DC 2.0 until resume...
LoggerLoop:     	Pausing check loop in DC 2.0 for 5...
ReadLoop:       	Received payload from DC 2.0
ReadLoop:       	Finished reading in read loop in DC 2.0!
ResponseHandler: 	Received pong from DC 2
ReadLoop:       	Reading in read loop in DC 2.0...
LoggerLoop:     	Pausing Ping loop in DC 1.0 for 5...
PingLoop:       	Ping DC 1.0
LoggerLoop:     	Pausing check loop in DC 1.0 until resume...
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 1.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 48) as encrypted message for DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received pong from DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
LoggerLoop:     	Pausing Ping loop in DC 2.0 for 5...
PingLoop:       	Ping DC 2.0
LoggerLoop:     	Pausing check loop in DC 2.0 until resume...
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 2.0
WriteLoop:      	Sent encrypted payload to DC 2.0
WriteLoop:      	No messages, pausing in write loop in DC 2.0...
LoggerLoop:     	Pausing write loop in DC 2.0 until resume...
LoggerLoop:     	Pausing check loop in DC 2.0 for 5...
ReadLoop:       	Received payload from DC 2.0
ReadLoop:       	Finished reading in read loop in DC 2.0!
ResponseHandler: 	Received pong from DC 2
ReadLoop:       	Reading in read loop in DC 2.0...
Login:          	Logging in as a normal user...
WriteLoop:      	Sending auth.signIn pending as encrypted message to DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received rpc_result from DC 1
Login:          	2FA enabled, you will have to call the complete2falogin function...
ReadLoop:       	Reading in read loop in DC 1.0...
WriteLoop:      	Sending account.getPassword pending as encrypted message to DC 1.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 36) as encrypted message for DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 3 outgoing messages in DC 2, 0 left
LoggerLoop:     	Pausing cleanup loop in DC 2.0 for 10...
Session:        	Garbage collected 7 incoming messages in DC 1, 0 left
Session:        	Garbage collected 8 outgoing messages in DC 1, 1 left
LoggerLoop:     	Pausing cleanup loop in DC 1.0 for 10...
SessionPaths:   	Waiting for exclusive lock of /Users/javohir/WEB/laravel/inspire/bot.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /Users/javohir/WEB/laravel/inspire/bot.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /Users/javohir/WEB/laravel/inspire/bot.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /Users/javohir/WEB/laravel/inspire/bot.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
LoggerLoop:     	Pausing serialize for 30...
LoggerLoop:     	Pausing Ping loop in DC 1.0 for 5...
PingLoop:       	Ping DC 1.0
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received rpc_result from DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received pong from DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
LoggerLoop:     	Pausing Ping loop in DC 2.0 for 5...
PingLoop:       	Ping DC 2.0
LoggerLoop:     	Pausing check loop in DC 2.0 until resume...
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 2.0
WriteLoop:      	Sent encrypted payload to DC 2.0
WriteLoop:      	No messages, pausing in write loop in DC 2.0...
LoggerLoop:     	Pausing write loop in DC 2.0 until resume...
LoggerLoop:     	Pausing check loop in DC 2.0 for 5...
ReadLoop:       	Received payload from DC 2.0
ReadLoop:       	Finished reading in read loop in DC 2.0!
ResponseHandler: 	Received pong from DC 2
ReadLoop:       	Reading in read loop in DC 2.0...
Login:          	Logging in as a normal user...
WriteLoop:      	Sending account.getPassword pending as encrypted message to DC 1.0
WriteLoop:      	Adding msgs_ack
WriteLoop:      	Wrapping in msg_container (2 messages of total size 36) as encrypted message for DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
LoggerLoop:     	Pausing Ping loop in DC 1.0 for 5...
PingLoop:       	Ping DC 1.0
WriteLoop:      	Sending ping_delay_disconnect pending as encrypted message to DC 1.0
WriteLoop:      	Sent encrypted payload to DC 1.0
WriteLoop:      	No messages, pausing in write loop in DC 1.0...
LoggerLoop:     	Pausing write loop in DC 1.0 until resume...
LoggerLoop:     	Pausing check loop in DC 1.0 for 5...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received msg_container from DC 1
MsgIdHandler:   	Given message id (7429464749868732421) is bigger than or equal to the current limit (7429464749868732417). Please sync your date using NTP.
ResponseHandler: 	Inside of container, received pong from DC 1
ResponseHandler: 	Inside of container, received msgs_ack from DC 1
ReadLoop:       	Reading in read loop in DC 1.0...
ReadLoop:       	Received payload from DC 1.0
ReadLoop:       	Finished reading in read loop in DC 1.0!
ResponseHandler: 	Received rpc_result from DC 1
Crypt:          	Executing p/g checks (1/2)...
Crypt:          	Executing p/g checks (2/2)...
Crypt:          	Executing g check...
